iter	Passed	Remaining
0	17	17505
1	41	20864
2	63	21261
3	87	21728
4	112	22357
5	133	22191
6	160	22828
7	185	22968
8	214	23576
9	231	22900
10	244	22007
11	258	21262
12	270	20524
13	282	19895
14	294	19310
15	305	18802
16	317	18335
17	330	18026
18	343	17739
19	357	17498
20	367	17132
21	379	16873
22	390	16568
23	400	16301
24	412	16078
25	423	15881
26	434	15667
27	445	15453
28	455	15263
29	467	15106
30	478	14945
31	488	14782
32	501	14691
33	512	14551
34	521	14383
35	532	14267
36	543	14155
37	553	14022
38	564	13914
39	577	13851
40	589	13791
41	602	13737
42	616	13711
43	626	13606
44	638	13542
45	650	13481
46	660	13396
47	671	13317
48	682	13244
49	692	13158
50	703	13088
51	716	13053
52	727	12990
53	737	12911
54	748	12853
55	761	12830
56	771	12755
57	782	12709
58	793	12661
59	804	12610
60	816	12568
61	829	12544
62	841	12509
63	855	12516
64	868	12491
65	881	12468
66	894	12458
67	907	12431
68	919	12410
69	932	12390
70	945	12375
71	958	12356
72	972	12354
73	985	12335
74	1002	12366
75	1020	12409
76	1032	12380
77	1045	12361
78	1057	12328
79	1068	12290
80	1080	12264
81	1092	12228
82	1103	12192
83	1114	12148
84	1124	12101
85	1134	12056
86	1145	12026
87	1156	11989
88	1168	11961
89	1180	11938
90	1192	11912
91	1205	11894
92	1216	11862
93	1227	11833
94	1241	11830
95	1255	11821
96	1267	11796
97	1280	11783
98	1293	11771
99	1303	11734
100	1313	11694
101	1324	11656
102	1333	11613
103	1343	11572
104	1353	11540
105	1364	11505
106	1374	11468
107	1384	11432
108	1395	11411
109	1406	11381
110	1417	11351
111	1429	11332
112	1440	11303
113	1449	11267
114	1461	11245
115	1474	11236
116	1485	11210
117	1494	11174
118	1504	11137
119	1515	11110
120	1527	11098
121	1538	11072
122	1549	11048
123	1559	11016
124	1568	10982
125	1579	10953
126	1589	10924
127	1598	10892
128	1609	10869
129	1620	10847
130	1631	10823
131	1642	10799
132	1656	10797
133	1666	10772
134	1677	10745
135	1689	10735
136	1700	10712
137	1712	10696
138	1721	10664
139	1731	10635
140	1741	10607
141	1752	10587
142	1763	10569
143	1775	10552
144	1786	10532
145	1796	10506
146	1807	10486
147	1818	10465
148	1829	10447
149	1840	10428
150	1849	10400
151	1860	10381
152	1872	10364
153	1883	10347
154	1894	10327
155	1904	10301
156	1913	10275
157	1925	10258
158	1936	10242
159	1947	10222
160	1960	10218
161	1970	10190
162	1979	10165
163	1990	10148
164	2002	10135
165	2012	10112
166	2024	10098
167	2038	10093
168	2049	10075
169	2060	10058
170	2071	10040
171	2080	10017
172	2092	10002
173	2104	9989
174	2116	9976
175	2127	9960
176	2137	9939
177	2147	9917
178	2157	9895
179	2170	9888
180	2180	9867
181	2191	9849
182	2201	9827
183	2212	9811
184	2222	9792
185	2235	9781
186	2246	9765
187	2259	9760
188	2274	9761
189	2285	9744
190	2296	9728
191	2308	9714
192	2320	9702
193	2332	9690
194	2342	9671
195	2353	9653
196	2367	9650
197	2377	9631
198	2388	9615
199	2400	9603
200	2414	9596
201	2426	9584
202	2437	9568
203	2449	9556
204	2459	9539
205	2471	9527
206	2482	9511
207	2493	9496
208	2504	9477
209	2516	9466
210	2525	9444
211	2536	9428
212	2546	9409
213	2557	9392
214	2567	9375
215	2578	9357
216	2593	9356
217	2602	9336
218	2612	9315
