,0,1,2,3,micro avg,macro avg,weighted avg,samples avg,model,CV
precision,0.826865671641791,0.8452740612861459,0.8190021231422505,0.9098449332852506,0.852105581301632,0.8502466973388595,0.8530865661183819,0.8428673916326839,MultiLogloss,1
recall,0.8642745709828393,0.8312818336162988,0.9005836575875487,0.9154571843251088,0.8805830296720458,0.8778993116279489,0.8805830296720458,0.8582257211901526,MultiLogloss,1
f1-score,0.8451563691838291,0.8382195591696984,0.8578576723498887,0.9126424308193163,0.8661102862116634,0.863469007880683,0.8662173593567478,0.8437919390683324,MultiLogloss,1
support,3846.0,4712.0,5140.0,5512.0,19210.0,19210.0,19210.0,19210.0,MultiLogloss,1
precision,0.8342541436464088,0.8561182351662682,0.8289687556438504,0.9097771387491014,0.8592257671205039,0.8572795683014072,0.859923929508305,0.8494958649597825,MultiLogloss,2
recall,0.8612911589318123,0.8363057324840765,0.8989424206815512,0.9176939811457578,0.881390379905154,0.8785583233107994,0.881390379905154,0.8593614289490578,MultiLogloss,2
f1-score,0.8475570863630564,0.8460960154655784,0.8625387578690219,0.9137184115523466,0.87016695392689,0.8674775678125008,0.8702034275234328,0.8476174292080036,MultiLogloss,2
support,3857.0,4710.0,5106.0,5516.0,19189.0,19189.0,19189.0,19189.0,MultiLogloss,2
precision,0.8423505047890241,0.8556768558951965,0.8244803695150116,0.9103936150916017,0.8594842992085779,0.8582253363227084,0.8603908374845998,0.8457667761791474,MultiLogloss,3
recall,0.8434421980300674,0.8331207482993197,0.9055609756097561,0.9098984771573604,0.876581784096235,0.8730055997741258,0.876581784096235,0.8539518900343643,MultiLogloss,3
f1-score,0.8428959979277295,0.8442481688927186,0.8631206992746885,0.9101459787832079,0.8679488501598432,0.865102711219586,0.8679422459629996,0.8436447695652408,MultiLogloss,3
support,3858.0,4704.0,5125.0,5516.0,19203.0,19203.0,19203.0,19203.0,MultiLogloss,3
precision,0.8317943598702271,0.8492407809110629,0.8201870478207164,0.915426497277677,0.855814893402041,0.8541621714699208,0.8569649113225851,0.8464355837486784,MultiLogloss2,1
recall,0.8666146645865834,0.8308573853989814,0.9042801556420234,0.9150943396226415,0.8818323789692868,0.8792116363125574,0.8818323789692868,0.8597549463827217,MultiLogloss2,1
f1-score,0.8488475741754743,0.8399485089036687,0.8601832145831406,0.9152603883142806,0.8686288585786073,0.8660599214941411,0.8687538848297043,0.8463945886465144,MultiLogloss2,1
support,3846.0,4712.0,5140.0,5512.0,19210.0,19210.0,19210.0,19210.0,MultiLogloss2,1
precision,0.8373493975903614,0.8577941815023882,0.8304869186046512,0.9109428519920678,0.8610050404765541,0.8591433374223671,0.8616965031719145,0.8510630263207583,MultiLogloss2,2
recall,0.8649209229971481,0.8388535031847134,0.8952213082647865,0.9160623640319072,0.8812861535254572,0.8787645246196387,0.8812861535254572,0.8597012952683055,MultiLogloss2,2
f1-score,0.8509118734855249,0.8482181193645341,0.8616399622997172,0.9134954352345657,0.8710275560133918,0.8685663475960854,0.8710953622646748,0.8487136329551647,MultiLogloss2,2
support,3857.0,4710.0,5106.0,5516.0,19189.0,19189.0,19189.0,19189.0,MultiLogloss2,2
precision,0.8450592885375494,0.8547790115392989,0.8254793047840888,0.9084354722422494,0.8597632832914894,0.8584382692757966,0.860419242168694,0.84588950568332,MultiLogloss2,3
recall,0.8312597200622084,0.8346088435374149,0.8989268292682927,0.9137055837563451,0.87382179867729,0.8696252441560653,0.87382179867729,0.8512329594803821,MultiLogloss2,3
f1-score,0.8381027048216386,0.8445735183392492,0.8606388940780871,0.911062906724512,0.8667355371900827,0.8635945059908716,0.866659969333558,0.8422599491818933,MultiLogloss2,3
support,3858.0,4704.0,5125.0,5516.0,19203.0,19203.0,19203.0,19203.0,MultiLogloss2,3
